,published_at,video_id,title,description,relevance,threat,pred_relevance
0,2018-04-22T09:38:43.000Z,D4QxqZ9pOSc,22apr2018 grabcar driver of SLT5391R quarrel with grab passenger,grab driver of SLT5391R quarrel with grab passenger the grab driver of slt5391r was upset with the lady rider for booking a 2nd grab car after waiting for 5 mins.,1,LOW,1
1,2017-10-29T08:18:01.000Z,pO3ZFntIz4Y,Is it worth as Uber/Grab driver in Malaysia? Honest thoughts tips and tricks,"I'm a part-time Uber and Grab driver. Yup, I drive for both. Here's my opinions if you can actually earn money from this platform and some advises I can give.",1,LOW,1
2,2018-04-26T03:42:48.000Z,l2a8QccHZm4,Headstart: 'Choosy' drivers to bear brunt of destination-masking: Grab,Subscribe to the ABS-CBN News channel! - http://bit.ly/TheABSCBNNews Visit our website at http://news.abs-cbn.com Facebook: ...,1,LOW,1
3,2018-03-26T23:23:18.000Z,PF7XQju1yRo,Uber Agrees to Sell Southeast Asian Operations to Rival Grab,"Mar.26 -- Bloomberg's Eric Newcomer discusses Uber's agreement to sell its Southeast Asian operations to Grab on ""Bloomberg Technology.""",1,LOW,1
4,2018-06-24T21:48:40.000Z,j6vq3sW8oWE,Rated K: Manong Grab Driver with Tourette Syndrome,"Grab driver Marlon Fuentes reveals the challenges of having Tourette syndrome, asserts that his affliction does not affect his performance as a driver, and takes ...",1,LOW,1
5,2018-05-24T09:44:46.000Z,U7xkQEZjomQ,Taxi driver association wants Grab to be shut down,PETEKMA president Mohd Syahrir Abdul Aziz who met with the Council of Eminent Persons today called for the government to permanently shut down the ...,1,LOW,1
6,2017-07-13T05:46:59.000Z,M_7QkpAkfUM,how to use Malaysia grab care,how to use Malaysia grab care Getting Started. Book in Just 2 Taps. Key in your pick-up and drop-off locations to get your estimated fare. Get a Driver. Grab will ...,1,LOW,1
7,2018-06-24T07:41:38.000Z,ie86SlC8H7o,"Grab driver killed, found upside down in car","A Grab driver, believed to have been strangled, was found upside down in the back seat of his Perodua Myvi car at a car park in Taman Selayang Makmur here ...",1,LOW,1
8,2018-01-22T05:20:45.000Z,_-Xr1yBJr5M,UBER & GRAB Singapore earnings 0530 to 1100 22nd January 2018,Hello my name is Benny! And I'm creating a YouTube channel to guide or show SG uber and grab drivers who are interested to earn money like I do shown in ...,1,LOW,1
9,2016-10-13T05:48:29.000Z,i0mXCyDxTeY,how to take a grab car in singapore,"If this is your first time taking grab car, click https://invite.grab.co/yori26026 to download the app and get $8 off for your first trip.",1,LOW,1
10,2018-06-26T10:58:48.000Z,yghw0qdW5-4,Grab launches academy for drivers' skills training,Video and editing by RYAN LEAGOGO/INQUIRER.net.,1,LOW,1
11,2016-09-10T06:19:45.000Z,tW-MnJqtVuo,How to use Grab App (FREE GRAB PROMO CODE),"bit.ly/grabforty If you download the app here, this is what will happen. First you get a 40PH Peso discount when you use the app and I too will get a 40PH Peso ...",1,LOW,1
12,2018-06-27T12:29:22.000Z,BiYEVyEcbII,Grab Driver Murder,"At the Selayang Magistrates Court, three workers of a frozen food shop at the Selayang wet market, were remanded for seven days. This to facilitate police ...",1,LOW,1
13,2017-11-08T09:52:49.000Z,t-kB00qMBrI,Delivery Boy Job - GRAB Rider - Video Job Description,"To Apply, give a Missed Call on 08039118134. (Please add Zero before the number) OR use the Application Links below: Mumbai: https://goo.gl/UEQQdN ...",1,LOW,1
