,published_at,video_id,title,description
0,2018-07-17T06:16:20.000Z,JQlGdEFXoqQ,Dulu Penumpang Grab Ku Sekarang Jadi Pacarku | Bro Omen,kali ini bro omen ngajakain mba Yessi ngevlog lagi...tapi ada yang beda di video kali ini. sebelumnya mba yessi di vlog gw dengan status penumpang atau ...
1,2018-07-17T14:27:14.000Z,IOCwzfo_WP4,Как делать Early Grab на лонгборде. Видео урок.,"Друзья, сегодня мы расскажем - как делать Early Grab на лонгборде. Все, что необходимо для лонгбординга, есть..."
2,2018-07-16T03:33:58.000Z,vcRu0DZqWCU,"Taxi drivers protest near Parliament, furious over Grab","A group of taxi drivers from various parts of the country have gathered at Padang Merbok, 3km from the Parliament house, since 9am today. Today is the first ..."
3,2018-07-17T07:05:16.000Z,ulfVXqpCLZ0,Aishwarya Rai Holiday pics Will Definitely Grab Your Attention,Aishwarya rai is on vacation in Paris with daughter Aradhya. You can watch this video on https://www.facebook.com/HalchalinBollywood/ Follow us on ...
4,2018-07-15T16:03:09.000Z,pChW8RQg97w,How to grab limited shoes小姊姊教你如何搶限量球鞋,感謝大家的支持，請訂閱我的頻道Instagram：@mr.wucai https://www.instagram.com/mr.wucai/ facebook page：無才 ...
5,2018-07-15T05:45:46.000Z,8lZRtEAcs5w,Intip Kantor Pusat Grab di Singapura yang Super Cozy!,"Grab berkantor di lantai 22 dan 23 gedung Marina One. Nah, 20Detik berkesempatan main-main ke kantornya yang terbesar nih."
6,2018-07-15T06:20:55.000Z,FcWMXa2XGnU,Cara Mengatasi Grab Driver Logout Sendiri/Terdeteksi Sistem,Bagi yg berminat bisa mendownload link apk driver versi lama di link berikut: ...
7,2018-07-16T08:44:04.000Z,bKExLt7TdF8,Dua rakan didakwa bunuh pemandu Grab,"Seorang warga Myanmar dan seorang warga India didakwa di Mahkamah Majistret, Selayang atas pertuduhan membunuh seorang pemandu Grab,bulan ..."
8,2018-07-15T17:22:12.000Z,er4lfznMK9c,"""GRAB MY KITTY PRANK"" ON BOYFRIEND!!! (HE DID IT OMG)",STAY CONNECTED WITH US SQUAD!!!!! 100K OTW! SNAPCHAT : SHAWNEENDENZEL INSTAGRAM : SHAWNEENDENZEL_.
9,2018-07-17T02:20:40.000Z,GMO1vMuq4OE,Người đàn ông trả nhầm tiền cho tài xế Grab ai ngờ nhận cái kết bất ngờ - Tin Tức Mới,Người đàn ông trả nhầm tiền cho tài xế Grab ai ngờ nhận cái kết bất ngờ ▻ Đăng ký kênh : https://goo.gl/k0bjii ▻ Xem thêm những video mới và hấp...
