,published_at,video_id,title,description
0,2018-07-24T14:00:04.000Z,rzm7MDx0LIs,WÄHLE NICHT DAS FALSCHE KILLER GRAB IN MINECRAFT!,Wähle nicht das falsche Killer Grab in Minecraft! Kostenlos abonnieren » http://bit.ly/CentexMinecraft Folgt mir auf: Instagram ...
1,2018-07-20T00:45:25.000Z,KHOgbnnZS4E,"Grab Wants to Be Southeast Asia's SuperApp, Co-Founder Says","Jul.19 -- Hooi Ling Tan, Grab co-founder, discusses the company's expansion plans and competing with Uber. She speaks with Bloomberg's Emily Chang on ..."
2,2018-07-24T07:38:07.000Z,sTcnmePjHh8,APES BANGET! DAPET PENUMPANG BAPERAN | TAKSI ONLINE GRAB GOCAR,"Hai gaes, kali ini gue dapet penumpang yang punya masalah asmara! baperan! emosian! pusing kepala gue! tonton sampai habis yak.. Ada kritik dan saran?"
3,2018-07-24T03:16:57.000Z,WMJEQwSod6A,Dad makes unreal grab on Franco's HR while holding a baby,"Maikel Franco launches his second home run of the game, and a fan makes a tremendous catch while holding a baby in his other arm About Major League ..."
4,2018-07-24T04:14:17.000Z,CoR9Oiquqwk,Nhóm chuyên cướp xe của tài xế Grab Đà Nẵng sa lưới,"Ngày 23.7.2018, Phòng Cảnh sát Hình sự, PC45, Công an TP.Đà Nẵng đã bắt được băng cướp chuyên nhắm vào tài xế Grab. Đăng kí theo dõi kênh để xem ..."
5,2018-07-18T12:00:01.000Z,EHDOXxViqMg,Grab Bigibike EP.2 แกล้งเอา Bigbike ไปรับผู้โดยสาร กับTiger 800 XRT,การขับรับผู้โดยสารในวันนี้จะเกิดขึ้นไม่ได้เลยครับถ้าขาดผู้สนับสนุ...
6,2018-07-23T17:00:01.000Z,Hl6wJ0bFo7I,Biggest Xbox Sale Ever! Grab A Deal On Over 700 Games,"This is the week you've been waiting for...it's the ultimate Xbox sale! Over 700 games are reduced in price, with up to 65% off in some cases, and we've picked ..."
7,2018-07-20T06:00:00.000Z,41A9BB_1mLY,(Malaysia) Female taxi driver not happy young Grab driver touting passengers,"Please share, comment and like our videos. Visit our Facebook at: https://www.facebook.com/singaporeincidents/"
8,2018-07-23T19:56:35.000Z,tblx6cE-bkE,How to do a Crossrocket Grab with Austin Smith | TransWorld SNOWboarding Grab Directory,"The Grab: Both hands grab the nose of the board with arms crisscrossed. The Tweak: On a skateboard, both feet are moved to the tail of the board."
9,2018-07-24T15:40:51.000Z,lsLRPtchACs,Grab That - Drumless Backing Track,Generator Web: http://www.generatortube.com/ Generator PayPal: https://www.paypal.me/GeneratorVideos Kalergi Plan: ...
10,2018-07-23T10:29:18.000Z,D1Ax55Ehiq4,[Safety] Kebijakan Anti-Pelecehan Grab Indonesia,"Keselamatan sangatlah penting bagi Grab. Baik keselamatan Mitra maupun Penumpang, keduanya adalah prioritas utama bagi Grab. Ikuti panduan dalam ..."
11,2018-07-22T17:57:42.000Z,3a0qKnAFRic,Long Trần chửi như hát tài xế Grab,Chửi như hát là có thật   #LongTran #relax_gocthugian #relax #fun #justforfun #funny #hilarious #memes #boy #boys #girl #girls #story #drama #hotboy ...
12,2018-07-18T03:29:03.000Z,Ktked_jLu7Q,"[Kata Mitra] Apa Kata Om Satrio Jati Soal Grab Sikat ""Tuyul""?","Mau tahu apa pendapat rekan Anda tentang usaha Grab membasmi ""Tuyul""? Yuk dengar pendapat Pak Satrio Jati soal ini!"
13,2018-07-19T07:10:09.000Z,7YnBA7YKYGw,ini penghasilan nge-grab -- pengakuan driver grab car,wow ternyata keuntungan dari nge grab itu cukup menjanjikan. selain pendapatan dari sewa penumpang juga driver grab akan mendapatkan bonus dari ...
14,2018-07-24T15:31:41.000Z,Ns05i9MB800,Poor Rose try run fast cus Princess&Solo grab her food.why April angry Brianna try fighting,"After she could enter the group,everyone start to welcome her and play with her as well. Rose is happy get more friends. However, at the same time she also ..."
15,2018-07-22T23:20:28.000Z,QO3lNyukfVE,คิดถึง อูเบอร์! Grab เอา เปรียบ ลูกค้า???,แชมป์ จัดไป! ง่ายๆ โดนๆ / Champ's Profile : https://youtu.be/JW7KTuX0dvM ติดต่อ / Contact : 080 - 616 - 1616 & Bank.Euariyakul@gmail.com ...
16,2018-07-15T16:53:47.000Z,koWHP-lPZ6U,cara mengatasi grab yg keditek server 2018,
17,2018-07-24T03:19:35.000Z,bzDi6MvbApM,"ห้องข่าวไอที l ""Grab"" เปิดตัวบริการใหม่ ครบวงจรมากขึ้น l 24 ก.ค.61",ห้องข่าวบันเทิงออกอากาศทุกวัน จ - ศ เวลา 08.30 - 09.00 น. และ วันเสาร์ เวลา 08.15 - 08.30...
18,2018-07-24T09:00:04.000Z,yB1G4z3Oa0o,Grab The Pebble From My Hand—Unrealsitc Martial Arts—Core JKD Breakdown,Ming gives a clear example of how people think they are training realistically and how realistic training actually is using the grab the pebble from my hand ...
19,2018-07-22T04:28:10.000Z,KnO7y6rvtJ4,cara mengatasi akun grab yang terdekteksi root part 2,
20,2018-07-23T12:29:46.000Z,MzTvFo0BA6Q,How lovely Polly grab mom like this!,How lovely Polly grab mom like this!
21,2018-07-20T19:34:08.000Z,7G2pEmHHvEY,Cara insentif grab tidak cair,
22,2018-07-23T23:45:00.000Z,EColsIQ9sx8,Oh god! Why old monkey Merry grab baby Brutus jr?,"Please Subscribe Channel Here : https://goo.gl/8gdXzH Monkeys have always been regarded as fun, adorable and entertainingly witty creatures. If you spend ..."
23,2018-07-23T17:21:12.000Z,ctr9jJkudGY,UFOs Aliens Ets Grab and Tag,Brought to you by: http://www.richwest.net.
24,2018-07-22T18:33:36.000Z,mm1mIzJNUSM,Real Steel Survival Kit   The Grab-N-Go bag for the Outdoors Adventurer !,Real Steel Survival Kit Link to this Survival Kit on the Real Steel website: ...
25,2018-07-19T21:06:00.000Z,CXBZfUQJ638,HATI HATI GRAB MENGAMBIL UANG DAN MENSUSPEN DRIVERNYA SENDIRI,Vidoc by. A&N Studio.
26,2018-07-22T09:12:06.000Z,rLplrhO6wMA,CASH GRAB - XS POWER SHOW - $$$$$,"At the 2nd Annual XS POWER Show in Knoxville, TN. Drew Jones wins the cash grab, how much do you think he was able to grab? Comment below what you ..."
27,2018-07-22T20:16:11.000Z,Nmuww5gAihA,Smash and Grab Moped Thieves drive by Shepards Bush,SUPPORT HUNT A MOPED THIEF DAY I need to raise £100 to take a day off work to be fully armored and do patrols in some of the worst areas in the uk for ...
28,2018-07-24T12:46:26.000Z,ZBHOhDVuLBM,Amazon Gift Card Generator 2018 ( Grab Free Amazon Codes now!),LINK: http://amazoncodestool.supercheats.org/
29,2018-07-24T07:19:40.000Z,2l6c7-yWZ7o,Makabayan slams Arroyo’s ‘naked power grab’ in House,"Gabriela Representatives Emmi de Jesus and Arlene Brosas said they will not support Arroyo, adding, 'Filipino women do not tolerate corrupt people in power, ..."
30,2018-07-23T16:28:12.000Z,V4z14jkFoCM,Terbukti grab masih bisa fake GPS,Belakangan banyak yang takut buat pasang Fake GPS di Aplikasi Grab & di video sebelumnya juga saya sudah berikan tips cara pasang fake gps agar tidak ...
31,2018-07-23T14:00:10.000Z,xn7XzsqlUfw,"Maria Not Good She Usually Grab Brutus JR From Jill,B.J Screams Too Loudly Scare Maria,SOK ST1883","Hello ladies and gentlemen! Maria Not Good She Usually Grab Brutus JR From Jill,B.J Screams Too Loudly Scare Maria,SOK ST1883 Thank you so much for ..."
32,2018-07-22T10:00:03.000Z,9iS2ggWh_cc,【外から行くタイプ？】ケージ越しで食事をするカワウソのビンゴ(Otter Bingo grab his food from the outside of his cage),なぜかケージを隔てて食事をしたがる・・・ビンゴです。。。 チャンネル登録お願いします！ https://www.youtube.com/channel/UCpRS2Kp3cYnbjVuTagu3JYQ ーーーー...
33,2018-07-21T13:38:15.000Z,GnAtEDm8fU0,TMC has pledged to grab 42 seats in Lok sabha@ Mamata Banerjee,"To satisfy the demands of high-rise favourites of Bengali audiences, Zee 24 Ghanta brings all the latest headlines and news stories. Connect with us at our ..."
34,2018-07-20T17:31:26.000Z,sGMK_lZXzrw,Warlords Awakening Is A Disgusting Rebranded Cash-Grab Of An MMORPG.,"Warlords Awakening is not a new upcoming MMORPG. What a lot of players don't immediately realize is that in actuality, the game is a mere rebranding and ..."
35,2018-07-21T04:00:58.000Z,BBPt7Y2pYWI,Cara mudah mengatasi tuyul fake gps/root yang terdeteksi oleh grab dan gojek,Sebelum nya saya meminta maaf jika ada salah salah kata atau kekurangan dalam pembuatan video ini Dan untuk yang tidak suka dengan fake gps atau istilah ...
