,published_at,video_id,title,description,relevance,threat,pred_relevance,pred_threat
0,2018-06-24T07:41:38.000Z,ie86SlC8H7o,"Grab driver killed, found upside down in car","A Grab driver, believed to have been strangled, was found upside down in the back seat of his Perodua Myvi car at a car park in Taman Selayang Makmur here ...",1,LOW,1,HIG
1,2018-06-21T03:25:37.000Z,oGpGca9vOPI,Grab mod 5.39 Smile time,Tes kegacoran.. like dan subcribe apa bila ada yg bermanfaat u/ anda dlm video ini #grabmod.,1,HIG,1,HIG
2,2017-09-05T17:53:51.000Z,86NsHESDiRs,Grab Mod 5.23.0 Easy ping 100% secure,Bypass AR -Bypass root -Bypass xposed -Bypass Fake Gps -Bypass tracking from GC -Easy ping -No softban -100% secure Like and subscribe dont forget !,1,HIG,1,HIG
3,2018-05-18T21:34:18.000Z,e1wRba6UxVM,Grab Mod Version 5.39.0 No Softban 100% New system,Like and subscribe dont forget ! Cp/wa +6281294357411 4 years already cr8 mod for malaysian driver now open for singaporean driver Subscribe dont forget ...,1,HIG,1,HIG
4,2017-12-07T18:29:47.000Z,VMxc-0Elt_U,MOD GRAB DRIVER VERSI 5.29.0 ALL IN 1 FIX BYPASS,"GRAB DRIVER MOD VERSI 5.29 Untuk yang mau mencoba APK MOD ini, harap di CLEAR DATA terlebih dahulu aplikasi GRAB DRIVER yang terinstal di hp ...",1,HIG,1,HIG
5,2018-05-12T16:10:08.000Z,Vda1USxC-84,MOD GRAB BLACK V5.39.0,Percuma bilang gunakan dgn bijak sama aja taunya dijual/belikan juga.. ingat ini mod free gak berkah dijual dibelikan.. Langsung aja udah males basa basi ...,1,HIG,1,HIG
6,2017-09-03T06:30:07.000Z,g8daE1X-eis,APK MOD GRAB ANTI PERFORMA,"Like, Coment and Subs ya kalo dapet 10000 viewer, link akan saya dibagikan :) Thanks..",1,HIG,1,HIG
7,2018-01-15T06:58:50.000Z,cM0DJwJCp0s,Mod Grab RRG7 Team,"Mod Grab RRG7 Team,bagi abang grabbike driver yang sedang mencairi cara agar akunnya gacor silahkan hubungi RRG7 untuk mendapatkan Mod Grab ...",1,HIG,1,HIG
8,2018-05-09T00:43:20.000Z,idFUz2HKbPk,Grab Mod Version 5.38.1 No Softban 100% New system,"Subscribe dont forget Cp/Whatsapp Only 081294357411/+6281294357411 -ignore ping ,AR will increase not dropping i always not uptodate to upload the ...",1,HIG,1,HIG
9,2018-05-09T06:47:31.000Z,vgz_fGh7WZo,mod Grab 538 transparan,aplikasi ini tdk tuk dijual/belikan gunakan dgn bijak jaga amanah ya abang2 langsung aja lah cocol bagi yg suka kalau gak suka jgn dihina saling menghargai ...,1,HIG,1,HIG
