,EN_published_at,EN_video_id,EN_title,EN_description
0,2018-04-22T09:38:43.000Z,D4QxqZ9pOSc,22apr2018 grabcar driver of SLT5391R quarrel with grab passenger,grab driver of SLT5391R quarrel with grab passenger the grab driver of slt5391r was upset with the lady rider for booking a 2nd grab car after waiting for 5 mins.
1,2017-10-29T08:18:01.000Z,pO3ZFntIz4Y,Is it worth as Uber/Grab driver in Malaysia? Honest thoughts tips and tricks,"I'm a part-time Uber and Grab driver. Yup, I drive for both. Here's my opinions if you can actually earn money from this platform and some advises I can give."
2,2018-05-18T06:00:57.000Z,JlxgrLH6hu4,The Future of Grab - Your Everyday App,"Read more here: https://grb.to/myfutureyt Soon, you can wake up, book a GrabCar to get to work, pay for your favourite nasi lemak during lunch, deliver gifts to ..."
3,2018-04-26T03:42:48.000Z,l2a8QccHZm4,Headstart: 'Choosy' drivers to bear brunt of destination-masking: Grab,Subscribe to the ABS-CBN News channel! - http://bit.ly/TheABSCBNNews Visit our website at http://news.abs-cbn.com Facebook: ...
4,2018-01-10T12:02:51.000Z,CNWJHBTBnnE,Watch! Isabelle Daza as grab taxi driver,
5,2018-03-26T23:23:18.000Z,PF7XQju1yRo,Uber Agrees to Sell Southeast Asian Operations to Rival Grab,"Mar.26 -- Bloomberg's Eric Newcomer discusses Uber's agreement to sell its Southeast Asian operations to Grab on ""Bloomberg Technology."""
6,2018-06-04T08:55:48.000Z,q6KjYcBrXEk,GRAB DI SUSPEN MASAL/Juni 2018,Driver grab di suspen masal karena menggunakan apk tambahan seperti fake gps dll .
7,2017-01-11T10:00:07.000Z,ZJMlRbmTTLo,[SOCIAL EXPERIMENT] GOJEK vs. GRAB vs. UBER. YANG MANA PALING OKE?,"SKWAD team nyobain pakai GOJEK, GRAB BIKE dan UBER Motor tiga hari berturut-turut untuk ngebuktiin yang mana yang paling oke. PARODI DEBAT ..."
8,2018-06-24T06:19:24.000Z,DW2KMGNPzEA,OOPS - PRANK GRAB BIKE PAKAI MOTOR 1000cc,Video ini direkam dengan - GoPro Hero 4 Black Edition - GoPro Hero 6 Black Edition - DJI Phantom 3 - SLR 6D Untuk tokonya bisa check di ...
9,2017-11-11T07:28:09.000Z,_xzFv3F32NE,Grab Premium Kuala Lumpur to Port Dickson in BMW RM210,"While planning my recent reviews trip, I started researching the best way to get to Port Dickson and was instantly shocked at the rates the car and driver services ..."
10,2018-06-24T21:48:40.000Z,j6vq3sW8oWE,Rated K: Manong Grab Driver with Tourette Syndrome,"Grab driver Marlon Fuentes reveals the challenges of having Tourette syndrome, asserts that his affliction does not affect his performance as a driver, and takes ..."
11,2018-04-07T15:37:46.000Z,vEwtxyRhFVE,GRAB VLOG - AKHIRNYA KETEMU YANG CANTIK !! UDAH CANTIK BERPRESTASI,allo poro dhulur dhulur setanah air setanah bangsa. vlog hiburan kali ini sepertia biasa nganterin kaka arina ketempat tujuan. sperti apa keseruan kaka dahlia ...
