,published_at,video_id,title,description
0,2018-07-16T03:33:58.000Z,vcRu0DZqWCU,"Taxi drivers protest near Parliament, furious over Grab","A group of taxi drivers from various parts of the country have gathered at Padang Merbok, 3km from the Parliament house, since 9am today. Today is the first ..."
1,2018-07-17T07:05:16.000Z,ulfVXqpCLZ0,Aishwarya Rai Holiday pics Will Definitely Grab Your Attention,Aishwarya rai is on vacation in Paris with daughter Aradhya. You can watch this video on https://www.facebook.com/HalchalinBollywood/ Follow us on ...
2,2018-07-15T17:22:12.000Z,er4lfznMK9c,"""GRAB MY KITTY PRANK"" ON BOYFRIEND!!! (HE DID IT OMG)",STAY CONNECTED WITH US SQUAD!!!!! 100K OTW! SNAPCHAT : SHAWNEENDENZEL INSTAGRAM : SHAWNEENDENZEL_.
3,2018-07-17T10:09:33.000Z,fcf6cIIJGgI,Why Amitabh Bachchan's Pictures Always Grab Your Attention?,Rare and unseen pictures of amitabh bachchan which is unique in his way. Superstar Amitabh Bachchan's pictures always become popular on internet as well ...
4,2018-07-16T12:36:33.000Z,-Yh4_sZYTIA,Two Foreigners Charged With Murder Of Grab Driver,"Two foreign nationals were charged in the Selayang Magistrate's Court with the murder of a Grab driver last month. Indian national, Gurpreet Singh and ..."
5,2018-07-17T15:14:49.000Z,Mwc6RpAGbx0,Cancer July 15-August 15 Money Grab: Releasing Priorities,IG:@tarot_by_kelis FB: Tatianna Kelis Taro www.TarotbyKelis.com http://paypal.me/TarotbyKelis.
6,2018-07-16T14:00:16.000Z,if0fKFLF1Ac,"Poor young mom scare some-one grab her Cali, She is so young one but love her baby","Poor young mom scare some-one grab her Cali, She is so young one but love her baby Young mom Candy, Candy, Lovely Young mom monkey, Poor young ..."
7,2018-07-17T04:09:55.000Z,4gMeVfu8k-U,TALKING EDGE: Grab-ing on to your wallet,We ask GrabPay's MD Ooi Huey Tyng about how it intends to make Malaysians break-up with cash.
8,2018-07-16T16:03:16.000Z,y1hxXEdWCMs,Newborn's mommy cry scare someone grab her baby away from her,"Newborn's mommy cry scare someone grab her baby away from her Newborn's mommy Beaker, Beaker monkey, The monkey, Mom monkey Beaker, Berry's ..."
9,2018-07-16T15:00:02.000Z,bRNm27XvRbs,JOGUEI COM A PENNY NO GEM GRAB #RUMOAOS300,"Fala galera, fiz umas jogatinas com a galera da friend list Contato: jaggerzor@gmail.com ############################ DISCORD ..."
10,2018-07-17T08:00:01.000Z,W1Vz_8BDRuk,"Polly So Boring With Dolly Cos She Always Grab Polly From Mom||Pop Eye Angry With Dolly,SOK ST1802","Hello ladies and gentlemen! Polly So Boring With Dolly Cos She Always Grab Polly From Mom||Pop Eye Angry With Dolly,SOK ST1802 Thank you so much for ..."
11,2018-07-16T18:57:53.000Z,B4nfhOSJ_XI,Virgo July 15-August 15 Money Grab: Currency eating habits,IG:@tarot_by_kelis FB:Tatianna Kelis Taro www.TarotbyKelis.com http://paypal.me/TarotbyKelis.
12,2018-07-16T19:17:13.000Z,uWAUpyQgmR8,Polychromos are on sale for only £80 for a limited time! Grab them quick!,Just a really quick video to let you guys know that the full set of Polychromos coloured pencils are on sale for an amazing deal for Amazon Prime members!
13,2018-07-16T17:28:40.000Z,ZVaKPpJKs1A,Taurus July 15- August 15 Money Grab: Who is this person??,IG:@tarot_by_kelis FB:@Tatianna Kelis Taro www.TarotbyKelis.com http://paypal.me/TarotbyKelis.
14,2018-07-16T16:13:11.000Z,SkN21EElF6c,Capricorn July 15- August 15 Money Grab: Accept your position/The Alchemist,IG:@tarot_by_kelis FB:Tatianna Kelis Taro www.TarotbyKelis.com http://paypal.me/TarotbyKelis.
15,2018-07-16T20:59:33.000Z,0DW62czBL0A,Final Opportunity to Grab Your FREE Bonuses Including Program Design Guide for Training the Female C,Complete Conditioning for the Female Core 2.0 Get Yours Today! https://iihfe.mykajabi.com/p/female-core-2-0.
16,2018-07-16T14:38:25.000Z,s3alvDShh5M,ComicsGate Is/Not A Cash Grab,Check out my IRON SIGHTS IndieGogo here: https://www.indiegogo.com/projects/iron-sights-graphic-novel-youtube-books/x/18535473#/
17,2018-07-16T02:46:24.000Z,EgfWsNZ8F3I,"Grab Your Muskets! According to Hillary, Kavanaugh Will Bring the U.S. Back to 1850’s","Democrats are growing more desperate and absurd by the moment, as they try and come up with legitimate ways to attack President Trump's amazing SCOTUS ..."
18,2018-07-16T09:48:49.000Z,gvGotjP-ICU,DUA ORANG SUSPEK KES BUNUH PEMANDU GRAB DIHADAP KE MAHKAMAH [16 JULAI 2018],"2 orang suspek kes bunuh pemandu grab Aiman Nosri pada 23 jun lalu di Taman Selayang Makmur, Batu Caves, Gombak yang masing-masing merupakan ..."
19,2018-07-16T14:12:26.000Z,ZYX9Z6V4uFU,"Young Candy cannot help her baby, A kidnapper grab Cali from young mom so hurt","Young Candy cannot help her baby, A kidnapper grab Cali from young mom so hurt Young mom monkey, Mom monkey, Pity young mom monkey, Poor Young ..."
20,2018-07-15T18:33:19.000Z,uGcvgxCyZd4,Pitiful baby Ollie so cry | Old monkey Beaker grab bite baby Ollie,"Please Subscribe Channel Here : https://goo.gl/8gdXzH Monkeys have always been regarded as fun, adorable and entertainingly witty creatures. If you spend ..."
21,2018-07-15T22:44:09.000Z,QRFQ_LbXjdA,Grab the umbrella! Rain chances higher next week,Scattered showers and thunderstorms will become more common across the area through mid-week. Subscribe to WDSU on YouTube now for more: ...
22,2018-07-16T02:23:17.000Z,tjm7R8AGKCM,"Grab the Essential 9"" Driving Light Pack - an essential for winter!",Adventure Kings Essential 9” Driving Light Set - https://www.4wdsupacentre.com.au/adventure-kings-essential-9-driving-light-set-wiring-harness-included.html ...
23,2018-07-15T18:56:09.000Z,Y_LVOlfKaR0,Sagittarius July 15- August 15 Money Grab: Change Your Approach,IG:@tarot_by_kelis FB:Tatianna Kelis Taro www.TarotbyKelis http://paypal.me/TarotbyKelis.
24,2018-07-15T16:00:04.000Z,zae7of9CrGY,ROLLING LEG GRAB UCHI MATA,Uchi Mata (Inner Thigh Throw) is a versatile and effective throwing technique. This video shows a rolling style Uchi Mata using a leg grab. While not permitted in ...
25,2018-07-16T09:06:16.000Z,-BC0JNa8uvM,Now The World Cup Is Over Will Arsenal Grab One Of Its Stars! | AFTV Transfer Daily,"Now The World Cup Is Over Will Arsenal Grab One Of Its Stars! | AFTV Transfer Daily Arsenal Fan TV are sponsored by Vanarama, driving fan TV this summer."
26,2018-07-15T16:38:35.000Z,EsNl-VfpOPo,Aries July 15-August 15 Money Grab: Unconventional Manifestations,IG:@tarot_by_kelis FB:Tatianna Kelis Taro https://paypal.me/TarotbtKelis.
27,2018-07-14T13:10:49.000Z,0jY_bFyY_eU,RIFT Prime New Player Review 2018 | Worthy Progression Server or Cash Grab?,"Is RIFT's Prime Server, a $15 monthly progression server worth the time and money? What's the good and bad about RIFT in general? New to RIFT and ..."
28,2018-07-16T21:47:33.000Z,RbrJtNU2JRo,Grab July Patches  - Daily Security Byte,"In this short, daily video post, Corey Nachreiner, CISSP and CTO for WatchGuard Technologies, shares the biggest InfoSec story from the day -- often sharing ..."
29,2018-07-09T10:21:44.000Z,wO9jU33rXZU,Various ‎– Grab This And Dance! 60's Rock & Roll Garage Punk R&b Novelty USA Bands Music Compilation,"Label:Spectra Sound Records Format:Vinyl, LP, Compilation, Unofficial Release Country:Italy Released:1996 Tracklist A1 –Gregory Dee And The Avanties The ..."
30,2018-07-13T06:17:08.000Z,Ev95nlp4E14,"Someone come grab their dad, we think he’s drank enough","Someone come grab their dad, we think he's drank enough (Video)"
31,2018-07-13T16:49:48.000Z,U9MVn88iNww,How to get Big Yell in Grab the child,"Make sure to follow the steps. Also, cringe warning."
32,2018-07-14T09:00:00.000Z,4T3ONdpiGV0,Angry Birds 2 - ANGRY BIRDS THUNDER GRAB THE TREASURE CHEST FROM THE BAD PIGS CHEF,Angry Birds 2 - ANGRY BIRDS THUNDER GRAB THE TREASURE CHEST FROM THE BAD PIGS CHEF Dowload Hack Bad Piggies Hack Link ...
33,2018-07-14T12:43:53.000Z,6okrbuaxf1Y,SUKSES ROOT ALL DEVICES ANDROID !! GRAB VERSION 5.43.1 TANPA TERDETEKSI,Modules didalam magisk tanpa menggunakan xposed framework dan xposed installer berhasil login di versi 5.43.1 Dan berfungsi juga untuk gojek driver tanpa ...
