,published_at,video_id,title,description,relevance
0,2018-04-22T09:38:43.000Z,D4QxqZ9pOSc,22apr2018 grabcar driver of SLT5391R quarrel with grab passenger,grab driver of SLT5391R quarrel with grab passenger the grab driver of slt5391r was upset with the lady rider for booking a 2nd grab car after waiting for 5 mins.,1
1,2017-10-29T08:18:01.000Z,pO3ZFntIz4Y,Is it worth as Uber/Grab driver in Malaysia? Honest thoughts tips and tricks,"I'm a part-time Uber and Grab driver. Yup, I drive for both. Here's my opinions if you can actually earn money from this platform and some advises I can give.",1
2,2018-05-18T06:00:57.000Z,JlxgrLH6hu4,The Future of Grab - Your Everyday App,"Read more here: https://grb.to/myfutureyt Soon, you can wake up, book a GrabCar to get to work, pay for your favourite nasi lemak during lunch, deliver gifts to ...",1
3,2018-04-26T03:42:48.000Z,l2a8QccHZm4,Headstart: 'Choosy' drivers to bear brunt of destination-masking: Grab,Subscribe to the ABS-CBN News channel! - http://bit.ly/TheABSCBNNews Visit our website at http://news.abs-cbn.com Facebook: ...,1
4,2018-03-26T23:23:18.000Z,PF7XQju1yRo,Uber Agrees to Sell Southeast Asian Operations to Rival Grab,"Mar.26 -- Bloomberg's Eric Newcomer discusses Uber's agreement to sell its Southeast Asian operations to Grab on ""Bloomberg Technology.""",1
5,2017-11-11T07:28:09.000Z,_xzFv3F32NE,Grab Premium Kuala Lumpur to Port Dickson in BMW RM210,"While planning my recent reviews trip, I started researching the best way to get to Port Dickson and was instantly shocked at the rates the car and driver services ...",1
6,2018-06-24T21:48:40.000Z,j6vq3sW8oWE,Rated K: Manong Grab Driver with Tourette Syndrome,"Grab driver Marlon Fuentes reveals the challenges of having Tourette syndrome, asserts that his affliction does not affect his performance as a driver, and takes ...",1
7,2016-06-01T14:53:32.000Z,dIZdq-mo0bI,Lil Uzi Vert - Grab The Wheel [Official Audio],"Lil Uzi Vert - ""Grab The Wheel"" from the mixtape “Lil Uzi Vert Vs. The World"" Download: http://smarturl.it/LilUziVertVsTheWorld Stream: ...",0
8,2018-06-28T22:49:37.000Z,JUoCF-nn4R0,Legacy of Discord - Free Codes & Diamonds for Grab 2018,Legacy of Discord - Furious Wings (2018 Free Codes) Here come another Free code + Diamonds for Grab https://lod.gtarcade.com/en/site/newclass.,0
9,2018-06-26T10:59:53.000Z,2aIpi-6X2I8,Myanmar national remanded over Grab driver’s murder,"Investigations into the murder of Grab driver, Aiman Nosri, led to the arrest of a Myanmar national who works at the Selayang wet market on Tuesday.",1
10,2018-05-24T09:44:46.000Z,U7xkQEZjomQ,Taxi driver association wants Grab to be shut down,PETEKMA president Mohd Syahrir Abdul Aziz who met with the Council of Eminent Persons today called for the government to permanently shut down the ...,1
11,2017-07-13T05:46:59.000Z,M_7QkpAkfUM,how to use Malaysia grab care,how to use Malaysia grab care Getting Started. Book in Just 2 Taps. Key in your pick-up and drop-off locations to get your estimated fare. Get a Driver. Grab will ...,1
12,2018-06-24T07:41:38.000Z,ie86SlC8H7o,"Grab driver killed, found upside down in car","A Grab driver, believed to have been strangled, was found upside down in the back seat of his Perodua Myvi car at a car park in Taman Selayang Makmur here ...",1
13,2018-01-22T05:20:45.000Z,_-Xr1yBJr5M,UBER & GRAB Singapore earnings 0530 to 1100 22nd January 2018,Hello my name is Benny! And I'm creating a YouTube channel to guide or show SG uber and grab drivers who are interested to earn money like I do shown in ...,1
14,2018-06-27T20:36:31.000Z,g9EoP8orFR4,[SFV]  How I Time Cody's HOME RUN Command Grab,"Live Stream » http://www.twitch.tv/AutoMattock I kind of triangulate the audio cue to know where the visual cue is of him holding the pipe back, which seems to be ...",0
15,2017-03-27T14:48:23.000Z,rTURhj16Chw,DWTS crotch grab,Awkward hand motion on Dancing with the stars.,0
16,2018-06-28T14:31:58.000Z,pToDXsI27vw,Consumer Reports' top-rated grab and go breakfasts,Nutritionist Maya Feller discusses Consumer Reports' new breakdown of their top picks for on-the-go breakfast from popular chain restaurants.,0
17,2018-06-28T16:58:23.000Z,jPfgARXQvEc,Grab Lab. iOS Gameplay. World 1. Levels 1 - 10.,Grab Lab. iOS Gameplay. World 1. Levels 1 - 10. App Store - https://goo.gl/4KNYgY Leave the comments with the games you would like to see at my channel!,0
18,2016-10-13T05:48:29.000Z,i0mXCyDxTeY,how to take a grab car in singapore,"If this is your first time taking grab car, click https://invite.grab.co/yori26026 to download the app and get $8 off for your first trip.",1
19,2018-06-26T10:58:48.000Z,yghw0qdW5-4,Grab launches academy for drivers' skills training,Video and editing by RYAN LEAGOGO/INQUIRER.net.,1
20,2018-06-28T12:00:09.000Z,wwcgk2_oaYo,BREAKING - LABOUR POWER GRAB: Corbyn allies plot hard-left TAKEOVER in 'probably illegal' move,JEREMY Corbyn's allies appear to be on the verge of ensuring the hard left will take complete control of Labour with a new power grab. New rules have been ...,0
21,2018-06-27T01:25:20.000Z,Mk41McXFgrw,A Smol BTS RUN 52 Analysis: Romantic Hand Grab | JIKOOK analysis,OK so this episode was so cute. I love the team efforts! Also are TaeJin shippers still alive? lol Like the video if you liked it! NO COPYRIGHT INFRINGEMENT ...,0
22,2017-04-08T20:22:44.000Z,_4-PMRW9vdI,Grab Em Hard,have a gr8 weekend (fb mash meph) https://soundcloud.com/terrorclown-official/terrorclown-terrorclown_10-years-of-violence-promo-mix-4 TRACKLIST: 01.,0
23,2018-05-24T15:23:57.000Z,3qPOO8o37lI,Petekma wants Grab banned,"Malaysian Taxi, Limousine and Rental Car Drivers and Operators Association (Petekma) has appealed to the new government to ban ride-hailing service Grab ...",1
24,2016-10-07T21:52:57.000Z,WhsSzIS84ks,"Trump On Tape: I Grab Women ""By The Pu**y”","A ""hot mic"" catches Donald J. Trump bragging in vulgar terms about making sexual advances toward a married woman, aggressively kissing and groping other ...",0
25,2016-10-07T22:42:13.000Z,wFEqVARTYkY,"Trump defends crude language from 2005 as ""locker room"" talk","Video of Donald Trump making crude references to women during a ""Hollywood Access"" outtake has surfaced. Trump defended the language as ""locker room ...",0
26,2018-06-28T18:16:40.000Z,jexMc7abzYY,Grab Lab. World 1. Levels 13. Walkthrough.,Grab Lab. World 1. Levels 13. Walkthrough. Leave the comments with the games you would like to see at my channel! Пишите какие еще игры вы хотели бы ...,0
27,2017-10-28T21:28:10.000Z,2PzZWOGWMrA,SIERRA KIDD - BIS INS GRAB (Official Audio) prod. by Jura Kez,"Danke an jeden der ein Abo da lässt.. TICKETS für die ""REST IN PEACE"" Tour 2017: http://eventim.de/sierra-kidd 17.11.17 - KÖLN - CLUB BAHNHOF ...",0
28,2018-06-26T21:15:18.000Z,csBpeWNeH8s,Drugs taken from Walgreens Pharmacy during latest smash-and-grab robbery,"Eastpointe police say that around 12:45 on Tuesday morning, four men used a stolen truck to break into Walgreens.",0
29,2018-06-26T12:30:56.000Z,GD9JrSKVpvw,Elementor Marketplace Has Opened! Grab The Best Deal,Check Newly Opened Elementor Marketplace Yourself: https://www.templatemonster.com/elementor-marketplace/ Subscribe to Our Channel: ...,0
30,2018-06-28T18:46:12.000Z,m_ONZb6k6_4,Grab Lab. World 2. Levels 18. Walkthrough.,Grab Lab. World 2. Levels 18. Walkthrough. Leave the comments with the games you would like to see at my channel! Пишите какие еще игры вы хотели бы ...,0
30,2018-06-28T18:20:54.000Z,iOjMRIoW_io,Grab Lab. World 1. Levels 14. Walkthrough.,Grab Lab. World 1. Levels 14. Walkthrough. Leave the comments with the games you would like to see at my channel! Пишите какие еще игры вы хотели бы ...,0
31,2018-06-27T19:32:25.000Z,uwH7eUWM1WM,hifold - the grab-and-go highback booster,"Sign-up to be alerted on when hifold will go live: https://gethifold.com hifold the grab-and-go highback booster hifold is the most advanced, compact, portable ...",0
32,2013-10-17T20:00:02.000Z,BDAwxwr9j3I,Grab The Cat!,My vision of the cutest game ever! SUBSCRIBE: http://bit.ly/IWantMORE Spider Arcade IRL ▻ http://youtu.be/xQwurqZQmwc Mr.TVCow Intro ...,0
33,2015-06-20T15:24:08.000Z,mVjTFQyyV3U,HAD TO GRAB THE BOOTY!!,Welcome to FOUSEY GAMING! New Vlog Channel: https://www.youtube.com/fousey RAWR Merch: https://www.SHOPFOUSEY.com/ Follow Me Here: Instagram: ...,0
34,2014-06-17T15:50:40.000Z,sKTXtjTYs1o,Cartier Watch Smash & Grab,Troy Police release video and photos of brazen smash and grab at Sak's 5th Avenue at the Somerset Collection.,0
35,2014-04-28T15:12:07.000Z,vgaVOXIWrHE,How To Install Bathroom Grab Bars,This video shows how to install grab bars in a tub or shower. If you or someone you know is disabled or just getting older and needs a little help getting in and ...,0
36,2016-09-10T06:19:45.000Z,tW-MnJqtVuo,How to use Grab App (FREE GRAB PROMO CODE),"bit.ly/grabforty If you download the app here, this is what will happen. First you get a 40PH Peso discount when you use the app and I too will get a 40PH Peso ...",1
37,2018-06-27T12:29:22.000Z,BiYEVyEcbII,Grab Driver Murder,"At the Selayang Magistrates Court, three workers of a frozen food shop at the Selayang wet market, were remanded for seven days. This to facilitate police ...",1
