,published_at,video_id,title,description,relevance
0,2018-07-11T12:54:35.000Z,MCPI6GtMJTE,Govt studying monopoly risks in ride-hailing market after Grab-Uber merger,Transport Minister Anthony Loke told the press on Wednesday that the Malaysia Competition Commission is studying the risks of a possible monopoly in the ...,1
1,2018-07-10T08:00:03.000Z,ZSSWjAbgSgQ,Grab co-founder addresses concerns since the Uber merger | In The News,Tan Hooi Ling of Grab says the company has neither increased its prices for consumers nor changed commissions for its drivers since merging with Uber.,1
2,2018-07-07T15:37:15.000Z,2Vzfa9Ig_Vw,Grab Deals & Launches,Some of Amazon's best deals and discounts are up for grabs and it's nothing like you've seen before. Watch to find out more.,1
3,2018-07-03T03:42:40.000Z,AD74nazlEiU,Grab Driver using phone while driving,"""I don't do this for a living"" Source: https://www.facebook.com/zhiyang.ray/posts/10156589820513793.",1
4,2018-07-05T16:23:26.000Z,Kxg5_dtlQL4,"Singapore Proposes Fines On Grab, Uber, Says Merger Harms Competition","Reuters reported that Singapore's anti-trust body has proposed fines on ride-hailing firms Grab and Uber, finding that their merger had reduced competition and ...",1
5,2018-07-03T08:09:12.000Z,133kKRW70nI,Daftar Grab Driver,Cara mudah daftar Pemandu Grab http://drivermalaysia.com/,1
6,2018-07-06T20:48:19.000Z,IburWHerj-w,CARA AMPUH 100/SEN AMAN AMBIL ORDERAN DI BANDARA GRAB GOJEK CAR,"SIMAK CARA2NYA YAH DI VIDEO N JGN LUPA BERDOA. GEMETERAN GURIH GURIH ENYOOYYYY KLO KENA, WKWKWKWKWKWKKK.",1
7,2018-07-09T10:12:07.000Z,MvSzYOtM7Jg,NEM’s LoyalCoin Joins Hands With Grab Philippines to Push Blockchain Adoption | by Duterte Latest N,NEM's LoyalCoin Joins Hands With Grab Philippines to Push Blockchain Adoption | by Duterte Latest News. ▻ Peer-to-peer cryptocurrency and blockchain ...,1
8,2018-06-27T03:52:23.000Z,hW4_9Re6sds,"Moon Man, Grab Knife - I GOT BANNED FROM PANDA EXPRESS -  Exploiting #2","Hello everybody, so in this video I trolled with Grab Knife and Moon Man scripts.I also got banned from Polar Express, Frappe, and Hilton Hotels xD.Yes I named ...",1
9,2018-07-03T23:20:37.000Z,gF8sD-v5mMk,Grab Driver Maps Trick and Tweaks,Cara untuk lebih fokus/membesarkan peta dengan lebih jelas tentang lokasi yg ingin dituju...dimana lokasi Hot spot yg seharusnya anda berada. Lingkungan ...,1
