0,2018-07-16T03:33:58.000Z,vcRu0DZqWCU,"Taxi drivers protest near Parliament, furious over Grab","A group of taxi drivers from various parts of the country have gathered at Padang Merbok, 3km from the Parliament house, since 9am today. Today is the first ...",1
1,2018-07-01T17:37:02.000Z,HtK8grXYk48,CARA TOPUP OVO DARI DRIVER GRAB,Cara Top Up GrabPay (OVO) dari Driver Grab (Mitra Pengemudi) Cara TF dari Dompet Tunai Ke ATM (khusus Driver/Mitra) Music: All About That Bass (cover) ...,1
3,2018-07-14T10:06:35.000Z,cj_AsvJeG1I,Cute mega gummy bear grab the fleeing gummi finger family song  more kids cartoon gummy bear songs,"All the characters in the video are just fictions, they are not true, these videos are all for fun, thanks for watching and please subscribe for more videos, normal ...",0
4,2018-07-07T08:15:43.000Z,pS8w4TG2Cqg,"Driver rants on Grab :""Si lang Grab!!!""","Please share, comment and like our videos. Visit our Facebook at: https://www.facebook.com/singaporeincidents/",1
5,2018-07-09T00:00:16.000Z,keWTN0uKiok,Grab Simple Recipes - A Simple Home Cooking Food Blog,https://grabsimplerecipes.com/ GRAB SIMPLE RECIPES - A SIMPLE HOME COOKING FOOD BLOG Hi there! Welcome to Grab Simple Recipes a simple home ...,0
6,2018-07-05T11:17:29.000Z,l15wfBpGFU4,Father smashes car to GRAB daughter,Furious father smashes window of ex-wife's car in desperate bid to grab daughter amid 'bitter custody row'. WARNING - DISTRESSING CONTENT: The father ...,0
7,2018-07-06T14:41:23.000Z,ReRM0dxmmAk,"SINGAPORE SAYS GRAB-UBER MERGER HURTS COMPETITION, PROPOSES FINES","Singapore says Grab-Uber merger hurts competition, proposes fines Singapore's antitrust regulator says the Uber-Grab merger harms competition and is ...",1
8,2018-07-06T00:21:31.000Z,GOuQe80GY6Y,"Singapore says Grab-Uber merger hurts competition, proposes fines","Singapore says Grab-Uber merger hurts competition, proposes fines. Singapore's Competition and Consumer Commission is questioning the Grab-Uber merger ...",1
9,2018-07-10T09:12:20.000Z,VGE6Un5gYwc,5 Free Rides | Grab Thailand Promo Code 2018,"Grab Taxi is a popular ride sharing company operating in Asia since 2012. The company is called the ""Uber of Asia"". Grab Taxi operates in over 168 cities in 8 ...",1
12,2018-06-17T00:19:43.000Z,aPuC65BY76k,Want to go grab some Food? VLOG,Want to grab some food? Vlog In this episode of The Living Search we go for a quick swim and grab some food. I also show how i make smoothies. Nobody ...,0
