,published_at,video_id,title,description,relevance
0,2018-04-23T18:33:12.000Z,EzT4nQQiP-A,FREE DOWNLOAD BLUETOOTH AUTO CONNECT | APK DOWNLOAD ,"Hay sobb, kali ini saya akan membagikan aplikasi.... Silahkan yang mau comot langsung sob, gratis kok......",0
1,2018-04-26T13:49:50.000Z,InWCU4P2VWA,Talking Tom Gold Run New Update (ASTRONAUT TOM)Tom In Two New Maps*Gameplay Make For Kid #261,"Hi, All visitors If you enjoyed this video please help to : Comment, Like, Favorite, Subscribe and Share as one of you done it really helps me :) ! You've been ...",0
2,2018-04-19T01:15:03.000Z,20w-XwbREzo,TALKING TOM CAMP Gameplay Part 13 - Treehouse Level 6 Base Defense (iOS Android),CAMP Gameplay Part 13 - Treehouse Level 6 Base Defense (iOS Android) Discord - https://discord.gg/YKHKJQK Twitter - https://twitter.com/MobileGameDaily ...,0
3,2018-04-22T10:54:44.000Z,yWd40E4cLVU,Free 8 Ball Fanatic Cue Trick Working Again !!,"Hi guys, It's me Henri and today's video is how to get 8 ball fanatic cue. I also want to say thanks to Mohammad who recorded this video. He's a true 8 - baller.",0
4,2018-04-21T02:39:19.000Z,5d7xQae2Q6o,How To Download Music From SoundCloud FREE.,"This is the most easy and effective procedure to follow lifetime. Go kill the waves!   Give this video a ""LIKE"" and comment down below :) also Subscriber if you ...",0
5,2018-04-20T04:18:17.000Z,nbh_8Gggqd0,How Do I Fix Show Box?,"Showbox is not working, keeps freezing, how to fix it? . I will try and go through on this post the most common reasons why showbox can have problems 9 jan ...",0
6,2018-04-27T07:14:04.000Z,6EJeLnu4Q14,CHIPMUNK CHASED BY INK DEMONS!!! | Alvin Plays Bendy And The Ink Machine Chapter 2 | Part 1,As Alvin enters chapter 2 of Bendy and the ink machine he soon finds out there are plenty of more evil monsters around. Thankfullt he's equipped with an axe.,0
7,2018-04-22T16:40:31.000Z,Vh1LEpnkAsk,8 ball pool new coin trick with pc 100% working 2018,Read description @@@@@@@@@@@@@@@@@@@@@@ (All song used from NCSC no copy right sounds) ...,0
8,2018-04-30T16:02:04.000Z,CYH50aZbJ-M,How to hack Amazon with simple trick,"Hii guys How to hack Amazon with simple trick you must watch Technology , Smartphone Reviews , Unboxing Gadgets , Electronics , Gadget Reviews, Tech ...",0
9,2018-04-26T11:32:11.000Z,hgfrgzaH86o,Moyer (Barrel) - Bowmasters - FAST TOURNAMENT - Gameplay Walkthrough (147),Bowmasters - Moyer (Barrel) Bowmasters - https://itunes.apple.com/us/app/bowmasters-top-multiplayer/id1118431695?mt=8 We're happy to announce the ...,0
